level_0,index,borough,major_cat,minor_cat,n
687,687,Lewisham,Robbery,Personal Property,77
688,688,Lewisham,Sexual Offences,Other Sexual,41
689,689,Lewisham,Sexual Offences,Rape,29
690,690,Lewisham,Theft and Handling,Handling Stolen Goods,6
691,691,Lewisham,Theft and Handling,M/V Interference & Tampering,49
692,692,Lewisham,Theft and Handling,Other Theft,236
693,693,Lewisham,Theft and Handling,Theft From M/V,175
694,694,Lewisham,Theft and Handling,Theft From Shops,113
695,695,Lewisham,Theft and Handling,Theft Person,39
696,696,Lewisham,Theft and Handling,Theft/Taking of M/V,86
697,697,Lewisham,Theft and Handling,Theft/Taking of Pedal Cycles,32
698,698,Lewisham,Violence Against the Person,Assault with Injury,199
699,699,Lewisham,Violence Against the Person,Common Assault,240
700,700,Lewisham,Violence Against the Person,Harassment,304
701,701,Lewisham,Violence Against the Person,Murder,0
702,702,Lewisham,Violence Against the Person,Offensive Weapon,22
703,703,Lewisham,Violence Against the Person,Other Violence,25
704,704,Lewisham,Violence Against the Person,Wounding/GBH,89
705,733,Merton,Burglary,Burglary - Business and Community,15
706,734,Merton,Burglary,Burglary - Residential,102
707,735,Merton,Criminal Damage,Arson,5
708,736,Merton,Criminal Damage,Criminal Damage To M/V,22
709,737,Merton,Criminal Damage,Criminal Damage To Other Bldg,7
710,738,Merton,Criminal Damage,Criminal Damage To a Dwelling,25
711,739,Merton,Criminal Damage,Other Criminal Damage,29
712,740,Merton,Drugs,Drug Trafficking,2
713,741,Merton,Drugs,Other Drug Offences,0
714,742,Merton,Drugs,Possession Of Drugs,31
715,743,Merton,Fraud or Forgery,Other Fraud & Forgery,2
716,744,Merton,Other Notifiable Offences,Going Equipped,1
717,745,Merton,Other Notifiable Offences,Other Notifiable,27
718,746,Merton,Robbery,Business Property,3
719,747,Merton,Robbery,Personal Property,36
720,748,Merton,Sexual Offences,Other Sexual,33
721,749,Merton,Sexual Offences,Rape,11
722,750,Merton,Theft and Handling,Handling Stolen Goods,1
723,751,Merton,Theft and Handling,M/V Interference & Tampering,11
724,752,Merton,Theft and Handling,Other Theft,103
725,753,Merton,Theft and Handling,Theft From M/V,57
726,754,Merton,Theft and Handling,Theft From Shops,64
727,755,Merton,Theft and Handling,Theft Person,28
728,756,Merton,Theft and Handling,Theft/Taking of M/V,34
729,757,Merton,Theft and Handling,Theft/Taking of Pedal Cycles,26
730,758,Merton,Violence Against the Person,Assault with Injury,115
731,759,Merton,Violence Against the Person,Common Assault,125
732,760,Merton,Violence Against the Person,Harassment,181
733,761,Merton,Violence Against the Person,Murder,0
734,762,Merton,Violence Against the Person,Offensive Weapon,6
735,763,Merton,Violence Against the Person,Other Violence,18
736,764,Merton,Violence Against the Person,Wounding/GBH,43
737,765,Newham,Burglary,Burglary - Business and Community,68
738,766,Newham,Burglary,Burglary - Residential,139
739,767,Newham,Criminal Damage,Arson,3
740,768,Newham,Criminal Damage,Criminal Damage To M/V,74
741,769,Newham,Criminal Damage,Criminal Damage To Other Bldg,22
742,770,Newham,Criminal Damage,Criminal Damage To a Dwelling,47
743,771,Newham,Criminal Damage,Other Criminal Damage,56
744,772,Newham,Drugs,Drug Trafficking,2
745,773,Newham,Drugs,Other Drug Offences,0
746,774,Newham,Drugs,Possession Of Drugs,137
747,775,Newham,Fraud or Forgery,Other Fraud & Forgery,7
748,776,Newham,Other Notifiable Offences,Going Equipped,0
749,777,Newham,Other Notifiable Offences,Other Notifiable,58
750,778,Newham,Robbery,Business Property,14
751,779,Newham,Robbery,Personal Property,127
752,780,Newham,Sexual Offences,Other Sexual,52
753,781,Newham,Sexual Offences,Rape,38
754,782,Newham,Theft and Handling,Handling Stolen Goods,6
755,783,Newham,Theft and Handling,M/V Interference & Tampering,32
756,784,Newham,Theft and Handling,Other Theft,412
757,785,Newham,Theft and Handling,Theft From M/V,263
758,786,Newham,Theft and Handling,Theft From Shops,205
759,787,Newham,Theft and Handling,Theft Person,158
760,788,Newham,Theft and Handling,Theft/Taking of M/V,112
761,789,Newham,Theft and Handling,Theft/Taking of Pedal Cycles,62
762,790,Newham,Violence Against the Person,Assault with Injury,222
763,791,Newham,Violence Against the Person,Common Assault,333
764,792,Newham,Violence Against the Person,Harassment,282
765,793,Newham,Violence Against the Person,Murder,0
766,794,Newham,Violence Against the Person,Offensive Weapon,21
767,795,Newham,Violence Against the Person,Other Violence,62
768,796,Newham,Violence Against the Person,Wounding/GBH,102
769,797,Redbridge,Burglary,Burglary - Business and Community,44
770,798,Redbridge,Burglary,Burglary - Residential,132
771,799,Redbridge,Criminal Damage,Arson,7
772,800,Redbridge,Criminal Damage,Criminal Damage To M/V,51
773,801,Redbridge,Criminal Damage,Criminal Damage To Other Bldg,7
774,802,Redbridge,Criminal Damage,Criminal Damage To a Dwelling,28
775,803,Redbridge,Criminal Damage,Other Criminal Damage,40
776,804,Redbridge,Drugs,Drug Trafficking,5
777,805,Redbridge,Drugs,Other Drug Offences,0
778,806,Redbridge,Drugs,Possession Of Drugs,34
779,807,Redbridge,Fraud or Forgery,Other Fraud & Forgery,2
780,808,Redbridge,Other Notifiable Offences,Going Equipped,0
781,809,Redbridge,Other Notifiable Offences,Other Notifiable,29
782,810,Redbridge,Robbery,Business Property,5
783,811,Redbridge,Robbery,Personal Property,110
784,812,Redbridge,Sexual Offences,Other Sexual,29
785,813,Redbridge,Sexual Offences,Rape,20
786,814,Redbridge,Theft and Handling,Handling Stolen Goods,3
787,815,Redbridge,Theft and Handling,M/V Interference & Tampering,35
788,816,Redbridge,Theft and Handling,Other Theft,247
789,817,Redbridge,Theft and Handling,Theft From M/V,159
790,818,Redbridge,Theft and Handling,Theft From Shops,98
791,819,Redbridge,Theft and Handling,Theft Person,109
792,820,Redbridge,Theft and Handling,Theft/Taking of M/V,128
793,821,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycles,19
794,822,Redbridge,Violence Against the Person,Assault with Injury,158
795,823,Redbridge,Violence Against the Person,Common Assault,203
796,824,Redbridge,Violence Against the Person,Harassment,257
797,825,Redbridge,Violence Against the Person,Murder,0
798,826,Redbridge,Violence Against the Person,Offensive Weapon,15
799,827,Redbridge,Violence Against the Person,Other Violence,29
800,828,Redbridge,Violence Against the Person,Wounding/GBH,62
801,829,Richmond upon Thames,Burglary,Burglary - Business and Community,40
802,830,Richmond upon Thames,Burglary,Burglary - Residential,77
803,831,Richmond upon Thames,Criminal Damage,Arson,4
804,832,Richmond upon Thames,Criminal Damage,Criminal Damage To M/V,46
805,833,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Bldg,13
806,834,Richmond upon Thames,Criminal Damage,Criminal Damage To a Dwelling,13
807,835,Richmond upon Thames,Criminal Damage,Other Criminal Damage,34
808,836,Richmond upon Thames,Drugs,Drug Trafficking,1
809,837,Richmond upon Thames,Drugs,Other Drug Offences,0
810,838,Richmond upon Thames,Drugs,Possession Of Drugs,19
811,839,Richmond upon Thames,Fraud or Forgery,Other Fraud & Forgery,0
812,840,Richmond upon Thames,Other Notifiable Offences,Going Equipped,0
813,841,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,35
814,842,Richmond upon Thames,Robbery,Business Property,0
815,843,Richmond upon Thames,Robbery,Personal Property,48
816,844,Richmond upon Thames,Sexual Offences,Other Sexual,18
817,845,Richmond upon Thames,Sexual Offences,Rape,6
818,846,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0
819,847,Richmond upon Thames,Theft and Handling,M/V Interference & Tampering,22
820,848,Richmond upon Thames,Theft and Handling,Other Theft,120
821,849,Richmond upon Thames,Theft and Handling,Theft From M/V,106
822,850,Richmond upon Thames,Theft and Handling,Theft From Shops,52
823,851,Richmond upon Thames,Theft and Handling,Theft Person,18
824,852,Richmond upon Thames,Theft and Handling,Theft/Taking of M/V,27
825,853,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycles,94
826,854,Richmond upon Thames,Violence Against the Person,Assault with Injury,73
827,855,Richmond upon Thames,Violence Against the Person,Common Assault,110
828,856,Richmond upon Thames,Violence Against the Person,Harassment,179
829,857,Richmond upon Thames,Violence Against the Person,Murder,0
830,858,Richmond upon Thames,Violence Against the Person,Offensive Weapon,10
831,859,Richmond upon Thames,Violence Against the Person,Other Violence,12
832,860,Richmond upon Thames,Violence Against the Person,Wounding/GBH,36
833,861,Southwark,Burglary,Burglary - Business and Community,84
834,862,Southwark,Burglary,Burglary - Residential,150
835,863,Southwark,Criminal Damage,Arson,9
836,864,Southwark,Criminal Damage,Criminal Damage To M/V,60
837,865,Southwark,Criminal Damage,Criminal Damage To Other Bldg,22
838,866,Southwark,Criminal Damage,Criminal Damage To a Dwelling,64
839,867,Southwark,Criminal Damage,Other Criminal Damage,54
840,868,Southwark,Drugs,Drug Trafficking,8
841,869,Southwark,Drugs,Other Drug Offences,0
842,870,Southwark,Drugs,Possession Of Drugs,126
843,871,Southwark,Fraud or Forgery,Other Fraud & Forgery,3
844,872,Southwark,Other Notifiable Offences,Going Equipped,0
845,873,Southwark,Other Notifiable Offences,Other Notifiable,57
846,874,Southwark,Robbery,Business Property,7
847,875,Southwark,Robbery,Personal Property,117
848,876,Southwark,Sexual Offences,Other Sexual,65
849,877,Southwark,Sexual Offences,Rape,32
850,878,Southwark,Theft and Handling,Handling Stolen Goods,1
851,879,Southwark,Theft and Handling,M/V Interference & Tampering,47
852,880,Southwark,Theft and Handling,Other Theft,517
853,881,Southwark,Theft and Handling,Theft From M/V,204
854,882,Southwark,Theft and Handling,Theft From Shops,145
855,883,Southwark,Theft and Handling,Theft Person,167
856,884,Southwark,Theft and Handling,Theft/Taking of M/V,113
857,885,Southwark,Theft and Handling,Theft/Taking of Pedal Cycles,156
858,886,Southwark,Violence Against the Person,Assault with Injury,207
859,887,Southwark,Violence Against the Person,Common Assault,288
860,888,Southwark,Violence Against the Person,Harassment,401
861,889,Southwark,Violence Against the Person,Murder,2
862,890,Southwark,Violence Against the Person,Offensive Weapon,37
863,891,Southwark,Violence Against the Person,Other Violence,64
864,892,Southwark,Violence Against the Person,Wounding/GBH,122
865,893,Sutton,Burglary,Burglary - Business and Community,12
866,894,Sutton,Burglary,Burglary - Residential,66
867,895,Sutton,Criminal Damage,Arson,12
868,896,Sutton,Criminal Damage,Criminal Damage To M/V,49
869,897,Sutton,Criminal Damage,Criminal Damage To Other Bldg,6
870,898,Sutton,Criminal Damage,Criminal Damage To a Dwelling,30
871,899,Sutton,Criminal Damage,Other Criminal Damage,33
872,900,Sutton,Drugs,Drug Trafficking,1
873,901,Sutton,Drugs,Other Drug Offences,0
874,902,Sutton,Drugs,Possession Of Drugs,22
875,903,Sutton,Fraud or Forgery,Other Fraud & Forgery,3
876,904,Sutton,Other Notifiable Offences,Going Equipped,0
877,905,Sutton,Other Notifiable Offences,Other Notifiable,23
878,906,Sutton,Robbery,Business Property,2
879,907,Sutton,Robbery,Personal Property,20
880,908,Sutton,Sexual Offences,Other Sexual,24
881,909,Sutton,Sexual Offences,Rape,17
882,910,Sutton,Theft and Handling,Handling Stolen Goods,1
883,911,Sutton,Theft and Handling,M/V Interference & Tampering,16
884,912,Sutton,Theft and Handling,Other Theft,123
885,913,Sutton,Theft and Handling,Theft From M/V,70
886,914,Sutton,Theft and Handling,Theft From Shops,70
887,915,Sutton,Theft and Handling,Theft Person,20
888,916,Sutton,Theft and Handling,Theft/Taking of M/V,25
889,917,Sutton,Theft and Handling,Theft/Taking of Pedal Cycles,13
890,918,Sutton,Violence Against the Person,Assault with Injury,96
891,919,Sutton,Violence Against the Person,Common Assault,92
892,920,Sutton,Violence Against the Person,Harassment,160
893,921,Sutton,Violence Against the Person,Murder,0
894,922,Sutton,Violence Against the Person,Offensive Weapon,14
895,923,Sutton,Violence Against the Person,Other Violence,12
896,924,Sutton,Violence Against the Person,Wounding/GBH,51
897,925,Tower Hamlets,Burglary,Burglary - Business and Community,94
898,926,Tower Hamlets,Burglary,Burglary - Residential,161
899,927,Tower Hamlets,Criminal Damage,Arson,11
900,928,Tower Hamlets,Criminal Damage,Criminal Damage To M/V,92
901,929,Tower Hamlets,Criminal Damage,Criminal Damage To Other Bldg,18
902,930,Tower Hamlets,Criminal Damage,Criminal Damage To a Dwelling,41
903,931,Tower Hamlets,Criminal Damage,Other Criminal Damage,53
904,932,Tower Hamlets,Drugs,Drug Trafficking,7
905,933,Tower Hamlets,Drugs,Other Drug Offences,3
906,934,Tower Hamlets,Drugs,Possession Of Drugs,142
907,935,Tower Hamlets,Fraud or Forgery,Other Fraud & Forgery,9
908,936,Tower Hamlets,Other Notifiable Offences,Going Equipped,3
909,937,Tower Hamlets,Other Notifiable Offences,Other Notifiable,81
910,938,Tower Hamlets,Robbery,Business Property,3
911,939,Tower Hamlets,Robbery,Personal Property,136
912,940,Tower Hamlets,Sexual Offences,Other Sexual,45
913,941,Tower Hamlets,Sexual Offences,Rape,29
914,942,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0
915,943,Tower Hamlets,Theft and Handling,M/V Interference & Tampering,39
916,944,Tower Hamlets,Theft and Handling,Other Theft,384
917,945,Tower Hamlets,Theft and Handling,Theft From M/V,196
918,946,Tower Hamlets,Theft and Handling,Theft From Shops,81
919,947,Tower Hamlets,Theft and Handling,Theft Person,145
920,948,Tower Hamlets,Theft and Handling,Theft/Taking of M/V,112
921,949,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycles,189
922,950,Tower Hamlets,Violence Against the Person,Assault with Injury,168
923,951,Tower Hamlets,Violence Against the Person,Common Assault,317
924,952,Tower Hamlets,Violence Against the Person,Harassment,381
925,953,Tower Hamlets,Violence Against the Person,Murder,0
926,954,Tower Hamlets,Violence Against the Person,Offensive Weapon,30
927,955,Tower Hamlets,Violence Against the Person,Other Violence,36
928,956,Tower Hamlets,Violence Against the Person,Wounding/GBH,98
929,957,Waltham Forest,Burglary,Burglary - Business and Community,47
930,958,Waltham Forest,Burglary,Burglary - Residential,124
931,959,Waltham Forest,Criminal Damage,Arson,8
932,960,Waltham Forest,Criminal Damage,Criminal Damage To M/V,41
933,961,Waltham Forest,Criminal Damage,Criminal Damage To Other Bldg,15
934,962,Waltham Forest,Criminal Damage,Criminal Damage To a Dwelling,33
935,963,Waltham Forest,Criminal Damage,Other Criminal Damage,41
936,964,Waltham Forest,Drugs,Drug Trafficking,7
937,965,Waltham Forest,Drugs,Other Drug Offences,0
938,966,Waltham Forest,Drugs,Possession Of Drugs,77
939,967,Waltham Forest,Fraud or Forgery,Other Fraud & Forgery,2
940,968,Waltham Forest,Other Notifiable Offences,Going Equipped,0
941,969,Waltham Forest,Other Notifiable Offences,Other Notifiable,39
942,970,Waltham Forest,Robbery,Business Property,8
943,971,Waltham Forest,Robbery,Personal Property,91
944,972,Waltham Forest,Sexual Offences,Other Sexual,21
945,973,Waltham Forest,Sexual Offences,Rape,16
946,974,Waltham Forest,Theft and Handling,Handling Stolen Goods,2
947,975,Waltham Forest,Theft and Handling,M/V Interference & Tampering,40
948,976,Waltham Forest,Theft and Handling,Other Theft,226
949,977,Waltham Forest,Theft and Handling,Theft From M/V,192
950,978,Waltham Forest,Theft and Handling,Theft From Shops,71
951,979,Waltham Forest,Theft and Handling,Theft Person,79
952,980,Waltham Forest,Theft and Handling,Theft/Taking of M/V,89
953,981,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycles,50
954,982,Waltham Forest,Violence Against the Person,Assault with Injury,122
955,983,Waltham Forest,Violence Against the Person,Common Assault,183
956,984,Waltham Forest,Violence Against the Person,Harassment,247
957,985,Waltham Forest,Violence Against the Person,Murder,1
958,986,Waltham Forest,Violence Against the Person,Offensive Weapon,15
959,987,Waltham Forest,Violence Against the Person,Other Violence,39
960,988,Waltham Forest,Violence Against the Person,Wounding/GBH,86
961,989,Wandsworth,Burglary,Burglary - Business and Community,45
962,990,Wandsworth,Burglary,Burglary - Residential,182
963,991,Wandsworth,Criminal Damage,Arson,8
964,992,Wandsworth,Criminal Damage,Criminal Damage To M/V,57
965,993,Wandsworth,Criminal Damage,Criminal Damage To Other Bldg,14
966,994,Wandsworth,Criminal Damage,Criminal Damage To a Dwelling,24
967,995,Wandsworth,Criminal Damage,Other Criminal Damage,47
968,996,Wandsworth,Drugs,Drug Trafficking,5
969,997,Wandsworth,Drugs,Other Drug Offences,0
970,998,Wandsworth,Drugs,Possession Of Drugs,46
971,999,Wandsworth,Fraud or Forgery,Other Fraud & Forgery,2
972,1000,Wandsworth,Other Notifiable Offences,Going Equipped,0
973,1001,Wandsworth,Other Notifiable Offences,Other Notifiable,69
974,1002,Wandsworth,Robbery,Business Property,6
975,1003,Wandsworth,Robbery,Personal Property,97
976,1004,Wandsworth,Sexual Offences,Other Sexual,54
977,1005,Wandsworth,Sexual Offences,Rape,26
978,1006,Wandsworth,Theft and Handling,Handling Stolen Goods,1
979,1007,Wandsworth,Theft and Handling,M/V Interference & Tampering,46
980,1008,Wandsworth,Theft and Handling,Other Theft,282
981,1009,Wandsworth,Theft and Handling,Theft From M/V,174
982,1010,Wandsworth,Theft and Handling,Theft From Shops,112
983,1011,Wandsworth,Theft and Handling,Theft Person,83
984,1012,Wandsworth,Theft and Handling,Theft/Taking of M/V,107
985,1013,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycles,111
986,1014,Wandsworth,Violence Against the Person,Assault with Injury,168
987,1015,Wandsworth,Violence Against the Person,Common Assault,266
988,1016,Wandsworth,Violence Against the Person,Harassment,321
989,1017,Wandsworth,Violence Against the Person,Murder,0
990,1018,Wandsworth,Violence Against the Person,Offensive Weapon,18
991,1019,Wandsworth,Violence Against the Person,Other Violence,30
992,1020,Wandsworth,Violence Against the Person,Wounding/GBH,67
993,1021,Westminster,Burglary,Burglary - Business and Community,260
994,1022,Westminster,Burglary,Burglary - Residential,157
995,1023,Westminster,Criminal Damage,Arson,4
996,1024,Westminster,Criminal Damage,Criminal Damage To M/V,73
997,1025,Westminster,Criminal Damage,Criminal Damage To Other Bldg,34
998,1026,Westminster,Criminal Damage,Criminal Damage To a Dwelling,33
999,1027,Westminster,Criminal Damage,Other Criminal Damage,60
1000,1028,Westminster,Drugs,Drug Trafficking,6
1001,1029,Westminster,Drugs,Other Drug Offences,1
1002,1030,Westminster,Drugs,Possession Of Drugs,97
1003,1031,Westminster,Fraud or Forgery,Other Fraud & Forgery,2
1004,1032,Westminster,Other Notifiable Offences,Going Equipped,3
1005,1033,Westminster,Other Notifiable Offences,Other Notifiable,89
1006,1034,Westminster,Robbery,Business Property,6
1007,1035,Westminster,Robbery,Personal Property,282
1008,1036,Westminster,Sexual Offences,Other Sexual,70
1009,1037,Westminster,Sexual Offences,Rape,52
1010,1038,Westminster,Theft and Handling,Handling Stolen Goods,2
1011,1039,Westminster,Theft and Handling,M/V Interference & Tampering,36
1012,1040,Westminster,Theft and Handling,Other Theft,1349
1013,1041,Westminster,Theft and Handling,Theft From M/V,242
1014,1042,Westminster,Theft and Handling,Theft From Shops,299
1015,1043,Westminster,Theft and Handling,Theft Person,957
1016,1044,Westminster,Theft and Handling,Theft/Taking of M/V,67
1017,1045,Westminster,Theft and Handling,Theft/Taking of Pedal Cycles,152
1018,1046,Westminster,Violence Against the Person,Assault with Injury,210
1019,1047,Westminster,Violence Against the Person,Common Assault,375
1020,1048,Westminster,Violence Against the Person,Harassment,451
1021,1049,Westminster,Violence Against the Person,Murder,0
1022,1050,Westminster,Violence Against the Person,Offensive Weapon,34
1023,1051,Westminster,Violence Against the Person,Other Violence,78
1024,1052,Westminster,Violence Against the Person,Wounding/GBH,129
